_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
3971,a1997,w3466,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 10
3999,a2011,w732,np940x5j-k02us,samsung ativ book 9 2014 edition 15.6-inch touchscreen laptop (intel core i7 mineral ash black) samsung np940x5j-k02us windows 8,np940x3l-k01us,samsung ativ book 9 spin 940x3l - flip design - core i7 6500u / 2.5 ghz - windows 10 home - 8 gb ram - 256 gb ssd - 13.3 touchscreen 3200 x 1800 (qhd+) - hd graphics 520 - wi-fi bluetooth - pure black samsung np940x3l-k01us microsoft windows windows 10
4012,a2014,w736,80ys0000us,lenovo notebook 80ys0000us ideapad n23 11.6 inch n3060 2gb 16gb chrome chrome op lenovo 80ys0000us unknown,80ys000cus,lenovo n23 chromebook - 11.6 - celeron n3060 - 4 gb ram - 16 gb ssd lenovo 80ys000cus chrome os
4207,a2081,w3423,thinkpad p51,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 512gb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me12,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 2tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me12 microsoft windows
4264,a2104,w3029,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 512gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 512gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 8
4298,a2104,w3224,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 512gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 256gb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10
4326,a2115,w2599,thinkpad 11e,lenovo thinkpad 11e 11.6 ultraportable business notebook intel n2940 quad-core 128gb solid state drive 4gb ddr3 802.11ac bluetooth win10pro lenovo thinkpad 11e windows 10,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd dvd windows 10 pro 64 laptop cam lenovo thinkpad 
4341,a2117,w1630,hp pavilion,2018 flagship hp pavilion 15.6 fhd ips gaming business laptop intel quad-core i7-8550u 32gb ddr4 256gb ssd +1tb hdd 4gb nvidia geforce 940mx dvdrw backlit keyboard b&o play wlan usb type-c win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with full hd touchscreen ( intel i7 quad core 32gb nvidia geforce 960m 2tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
4390,a2142,w699,xps9350-2008slv,dell xps9350-2008slv 13.3 inch laptop (intel core i5 8 gb ram 128 gb ssd silver) microsoft signature image dell xps9350-2008slv windows 10,xps9350-5341slv,dell silver 13.3 xps 13 laptop pc with intel core i7-6560u processor 8gb memory touch screen 256gb solid state drive and windows 10 home dell xps9350-5341slv windows 10
4402,a2154,w2958,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 8gb ram 256gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me5,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 240gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me5 microsoft windows
4447,a2154,w3333,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 8gb ram 256gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me11,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 2tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me11 microsoft windows
4543,a2216,w1511,n855hj,prostar clevo gaming laptop n855hj 15.6 fhd (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj windows 10,n855hj,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft windows 10
4578,a2216,w1583,n855hj,prostar clevo gaming laptop n855hj 15.6 fhd (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj windows 10,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 512gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar n850hp6 microsoft windows 10
4617,a2238,w714,,2018 hp 15.6 touchscreen laptop pc intel core i3-7100u 8gb ddr4 1tb hdd intel hd graphics 620 802.11ac bluetooth dvd rw usb 3.1 hdmi webcam windows 10 home jet black hp windows 10,,2018 newest premium hp 15.6? touchscreen hd laptop intel dual core i3-7100u processor 2.40ghz 8gb ddr4 ram 1tb hdd hdmi bluetooth webcam hd graphics 620 dvd-rw 8-hours battery win 10 hp windows 10
4641,a2252,w1392,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd 120hz 5ms matte display with g-sync intel core i7-7700hq 16gb ddr4 gtx 1060 256gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar p650hp6-g windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
4727,a2261,w154,,msi ge63vr075 raider-075 vr ready premium 15.6 inch gaming and business laptop (intel i7 quad core 16gb ram 1tb hdd + 128gb ssd 15.6 fhd (1920x1080) display nvidia geforce gtx 1070 win 10 home) michaelelectronics2 windows 10,hp-15-02403-amd-me6,hp pavilion x360 convertible premium 15.6 yoga style 2-in-1 laptop pc (intel i5 processor 8gb ram 240gb ssd + 128gb ssd 15.6 inch fhd 1920x1080 touch display amd radeon 530 stylus win 10 home) michaelelectronics2 hp-15-02403-amd-me6 microsoft windows
4744,a2272,w2004,i3162-0000blu,dell inspiron 11.6 laptop intel celeron 2gb ram 32gb emmc flash memory bali blue i3162-0000blu dell i3162-0000blu windows 10,i3162-0003blu,dell - inspiron 11.6 laptop - intel celeron - 4gb memory - 32gb emmc flash memory - bali blue dell i3162-0003blu windows 10
4760,a2289,w2948,thinkpad p51,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel quad-core i7-7700hq 32gb ram 256gb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me4,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 8gb ram 240gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me4 microsoft windows
4764,a2289,w3025,thinkpad p51,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel quad-core i7-7700hq 32gb ram 256gb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me6,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 240gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me6 microsoft windows
4778,a2291,w2963,,asus p2540ua-xs71 15.6 inch fhd high performance business laptop pc (intel i7 processor 16gb ram 512gb ssd 15.6 inch full hd (1920 x 1080) fingerprint tpm win 10 pro ) michaelelectronics2 windows 10,hp-14-02398-fhd-me1,hp elitebook 840 g4 14 fhd premium ultrabook business laptop pc (intel i7 processor 8gb ram 500gb hdd + 128gb ssd 14 full hd (1920x1080) fingerprint backlit keyboard wifi bt win 10 pro) michaelelectronics2 hp-14-02398-fhd-me1 microsoft windows
4824,a2294,w1560,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 windows 10,n855hj,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 512gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft?? windows 10 (64-bit)??
4853,a2294,w1618,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 512gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
4854,a2294,w1623,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 512gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
4887,a2355,w36,i5368-6452gry,dell i5368-6452gry 13.3 fhd 2-in-1 laptop (intel core i5-6200u 2.3ghz processor 8 gb ram 1 tb hdd windows 10) gray dell i5368-6452gry windows 10,i5368-1692gry,refurbished dell i5368-1692gry 13.3 fhd 2-in-1 laptop (intel core i3-6100u 2.3ghz processor 4 gb ram 1 tb hdd windows 10) gray dell i5368-1692gry 
4928,a2361,w1560,p950hp6,prostar clevo p950hp6 15.6 full hd ips matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p950hp6 windows 10,n855hj,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 512gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft?? windows 10 (64-bit)??
5046,a2387,w3482,thinkpad p51,lenovo thinkpad p51 mobile workstation - windows 10 pro - intel quad-core i7-7700hq 64gb ram 1tb ssd + 1tb hdd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me13,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 4tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me13 microsoft windows
5088,a2398,w1324,,hp laptop - 15z touchscreen 15.6-inch (amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 1tb hdd 15.6 hd sva wled-backlit touch (1366 x 768) display windows 10 home) silk gold michaelelectronics2 windows 10,hp-17-02340-hdt-me6,hp - 17z laptop 17.3 with hd+ touchscreen ( amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 512gb ssd 17.3inch touch screen (1600x900) wi-fi bluetooth windows 10 home) silk gold michaelelectronics2 hp-17-02340-hdt-me6 microsoft windows
5104,a2400,w1752,1fx54ut#aba,hp elitebook 745 g4 14 notebook windows amd a8 1.6 ghz 4 gb ram 500 gb hdd amd radeon r5 silver (1fx54ut#aba) hp 1fx54ut#aba windows 10 pro 64-bit edition,1fx82ut#aba,hp chromebook 11 g5 - education edition - 11.6 - celeron n3060 - 4 gb ram - 16 gb ssd - us hp 1fx82ut#aba chrome
5147,a2418,w3282,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 7 pro - intel i7-6700hq 64gb ram 2tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 7 professional,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10
5263,a2426,w3282,20fcs5f100,lenovo thinkpad x1 carbon 4 business ultrabook 20fc - intel core i5-6300u 256gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifiwindows 7 professional /win 10 pro lenovo 20fcs5f100 windows 10,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10
5311,a2438,w1936,cb5-312t-k40,acer r13 cb5-312t-k40u with touch 13.3 chromebook - sparkly silver; mediatek m8173c quad core processor 2.1ghz; google chrome os; 4gb ram; 64gb emmc imagination powervr gx6250 graphics acer cb5-312t-k40 chrome os,cb5-312t-k6tf,acer cb5-312t-k6tf 13.3 touchscreen lcd chromebook - mediatek (refurbished) acer cb5-312t-k6tf 
5405,a2439,w3216,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
5423,a2439,w3255,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 20gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo windows 10
5504,a2439,w3415,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo windows 7
5523,a2439,w3471,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie touch lenovo thinkpad t460s windows 8.1 pro laptop - intel core i7-6600u 20gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo windows 8
5527,a2439,w3478,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 20gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo windows 10
5552,a2462,w761,nx.g1kaa.006,acer aspire v3-574 15.6-inch laptop | i7-5500u | 8gb memory | 1tb hdd | windows 10 home acer nx.g1kaa.006 windows 10 home,nx.gp7aa.006,acer aspire r5-571tg r5-571tg-51a3 15.6 core i5 (7th gen) i5-7200u 8gb ddr4 1tb hdd - 128gb ssd - windows 10 home 1920 x 1080 - in-plane switching (ips) technology - steel gray notebook acer nx.gp7aa.006 windows 10
5588,a2490,w344,hp envy x360 -15t laptop dark ash silver,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 graphics 16gb ram 512gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win10) dark ash silver hp hp envy x360 -15t laptop dark ash silver ,hp-15-02336-x360-fhd-me7,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 graphics 16gb ram 512gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win10) dark ash silver michaelelectronics2 hp-15-02336-x360-fhd-me7 microsoft windows
5600,a2490,w422,hp envy x360 -15t laptop dark ash silver,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 graphics 16gb ram 512gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win10) dark ash silver hp hp envy x360 -15t laptop dark ash silver ,hp envy x360 -15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2-in-1 premium laptop / tablet (intel i7 processor 32gb ram 1tb hdd + 512gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win 10) michaelelectronics2 hp envy x360 -15t fhd touch laptop microsoft windows
5615,a25,w600,i5379-5043gry-pus,dell inspiron 13 5000 2-in-1 - 13.3 touch display - 8th gen intel core i5-8250u - 8gb memory - 1 tb hard drive - theoretical gray (i5379-5043gry-pus) dell i5379-5043gry-pus windows 10,i5565-a000gry-pus,dell inspiron 15 5000 series (5565) with 7th gen amd a12-9700p quad-core processor 12gb memory 1tb hard drive 15.6-inch fhd (1920 x 1080) truelife led-backlit touch display windows 10 home dell i5565-a000gry-pus windows 10 home 64bit english
5616,a25,w635,i5379-5043gry-pus,dell inspiron 13 5000 2-in-1 - 13.3 touch display - 8th gen intel core i5-8250u - 8gb memory - 1 tb hard drive - theoretical gray (i5379-5043gry-pus) dell i5379-5043gry-pus windows 10,i5579-7746gry-pus,dell - inspiron 15 5000 2-in-1 15.6-inch fhd intel core i7-8550u 8gb 2400mhz ddr4 256 gb (ssd) intel uhd graphics 620 dell i5579-7746gry-pus windows 10 home 64-bit english
5633,a2500,w206,nx.gqlaa.001,sf314-52-52sy i5-8250u 1.6g 8gb acer nx.gqlaa.001 unknown,nx.gtqaa.001,acer spin sp515-51gn sp515-51gn-807g 15.6 - intel core i7 i7-8550u 8gb ddr4 1tb hdd - windows 10 home 1920 x 1080 - ips convertible 2 in 1 notebook acer nx.gtqaa.001 windows 10
5652,a2500,w895,nx.gqlaa.001,sf314-52-52sy i5-8250u 1.6g 8gb acer nx.gqlaa.001 unknown,nx.gkhaa.001,refurbished acer 15.6 intel core i7 2.7 ghz 12 gb ram 1tb hdd windows 10 home|r5-571tg-78g8 acer nx.gkhaa.001 windows 10
5661,a252,w685,t8tjg,2018 2-in-1 dell inspiron 13 5000 13.3 inch full hd touchscreen flagship backlit keyboard laptop pc intel core i7-8550u quad-core 8gb ddr4 256gb ssd waves maxxaudio pro windows 10 dell t8tjg windows 10,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
5716,a2551,w585,1kv26ua#aba,hp laptop 15-bw071nrwindows 10 homeamd a9-94204gb ddr41tb 5400rpm sata hdda hp 1kv26ua#aba unknown,1kv01ua#aba,hp 15-bs030nr 15.6 laptop touchscreen windows 10 intel core i5-7200u processor 8gb ram 1tb hard drive hp 1kv01ua#aba windows 10
5774,a260,w804,hp touch 15,hp 15.6’’ hd touchscreen trubrite display laptop pc intel dual core i5-7200u 2.5ghz processor 8gb ddr4 sdram 1tb hdd hdmi hd graphics 620 dts studio sound dvd burner windows 10 hp hp touch 15 windows 10,hp envy 15t fhd touch,newest hp envy 15t high performance laptop pc with full hd touchscreen ( intel i7 processor 32gb ram 1tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) hp hp envy 15t fhd touch 
5785,a2609,w1509,hp pavilion,2018 flagship hp pavilion 14 wled hd premium business laptop - intel dual-core i5-7200u up to 3.1ghz 12gb ddr4 128gb ssd+1tb hdd b&o play 802.11ac bluetooth hdmi usb type-c backlit keyboard win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with uhd 4k touchscreen ( i7 quad core 16gb nvidia geforce 960m 512gb ssd 15.6 inch uhd (3840 x 2160) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
5797,a2616,w1392,pa71hs-g,prostar clevo pa71hs-g 17.3” full hd ips matte display gaming laptop with g-sync intel core i7-7700hq 16gb ddr4 gtx 1070 256gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar pa71hs-g windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
