_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
5856,a2616,w1601,pa71hs-g,prostar clevo pa71hs-g 17.3” full hd ips matte display gaming laptop with g-sync intel core i7-7700hq 16gb ddr4 gtx 1070 256gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar pa71hs-g windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
5981,a2689,w676,hp-15touch-laptop,2016 hp 15.6 touchscreen premium high performance laptop amd a10-9600p quad-core 2.4ghz 6gb ram 1tb hdd dvd+/-rw webcam wifi hdmi radeon r5 graphics windows 10 hp hp-15touch-laptop windows 10,,new flagship hp laptop 15.6 hd high performance premium touchscreen amd a8-7410 quad-core 2.20 ghz 4gb ram 1tb hdd amd radeon r5 dvdrw wlan webcam usb 3.0 hdmi win 10 -dreamy teal hp windows 10
6079,a2717,w774,,omen x by hp 17.3 inch 4k uhd gaming and business laptop pc (intel i7 quad core processor 32gb ram 2tb ssd 17.3 3840x2160 display nvidia geforce gtx 1080 win 10 pro) vr ready michaelelectronics2 windows 10,hp-17-02401-fhd-me15,hp envy 17t premium 17.3 inch touch laptop (intel 8th gen i7 quad core 16gb ram 4tb ssd (solid state drive) nvidia geforce mx150 17.3 fhd (1920 x 1080) touchscreen dvd win 10 pro) michaelelectronics2 hp-17-02401-fhd-me15 microsoft windows
6090,a2724,w1610,hp pavilion,2018 flagship hp pavilion 15.6 fhd ips gaming business laptop intel quad-core i7-8550u 16gb ddr4 256gb ssd 4gb nvidia geforce 940mx dvdrw backlit keyboard b&o play wlan bluetooth usb type-c win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with full hd touchscreen ( intel i7 quad core 16gb nvidia geforce 960m 2tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
6131,a2758,w3209,thinkpad p51s,lenovo thinkpad p51s touch mobile workstation laptop - windows 10 pro core i7-7500u 32gb ram 1tb ssd 15.6 fhd 1080p ips touchscreen nvidia quadro m520m fingerprint smart card reader lenovo thinkpad p51s windows 10 pro,,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 8gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo windows 10
6207,a2763,w3423,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 2tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me12,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 2tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me12 microsoft windows
6300,a2794,w3250,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 516gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 7
6351,a2794,w3444,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 516gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 2tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 8
6390,a2806,w902,b01civbu66,dell inspiron 15 15.6 inch full hd 1920 x 1080 led touchscreen laptop intel core i5-4210u 16gb ddr3 memory ram 1tb hard drive hdd dvd usb 3.0 hdmi bluetooth webcam 802.11ac backlit keyboard windows 10 dell b01civbu66 windows 10,,dell inspiron 15.6 full hd 1920x1080 touchscreen laptop latest intel skylake core i5-6200u 8gb memory 250gb ssd solid state drive realsense 3d camera usb 3.0 bluetooth backlit keyboard windows 10 dell 
6392,a2812,w3042,20fl000kus,lenovo thinkpad p50s 20fl000kus 15.6 fhd (1920x1080) ips display intel i7-6500u processor 8gb ram 500gb hard drive nvidia quadro m500m 2gb windows 7 professional lenovo 20fl000kus windows 7 professional,20hr000kus,lenovo thinkpad x1 carbon 14 fullhd laptop i5-7300u16gb 256gb ssd win10 pro lenovo 20hr000kus windows 10 pro (english)
6474,a2872,w1304,i5378-5896gry,dell i5378-5896gry inspiron pro 13.3 fhd with touch laptop computer (core i5-7200u 8gb ddr4 256gb solid state drive windows 10 pro) gray dell i5378-5896gry windows 10 pro,i5378-4314gry,dell inspiron i53784314gry 13.3 laptop touchscreen windows 10 home intel core i5-7200u processor 8gb ram 256gb solid state drive dell i5378-4314gry windows 10
6529,a290,w685,t8tjg,2017 flagship dell premium inspiron 15.6 led-backlit hd laptop - intel dual-core i3-7100u 2.4ghz 8gb ram 128gb ssd dvdrw wlan bluetooth hdmi webcam 3-in-1 card reader maxxaudio win 10 dell t8tjg windows 10 home 64-bit,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
6538,a2906,w2674,nx.glbaa.003,acer laptop 15.6 intel core i7 3.5ghz 8gb ram 1tb hdd windows 10 (certified refurbished) acer nx.glbaa.003 windows 10 home,nx.gmuaa.003,refurbished acer 15.6 amd a9 dual-core 2.9ghz 8 gb ram 1 tb hdd windows 10 home|e5-523-99mc acer nx.gmuaa.003 windows 10
6553,a2922,w2599,thinkpad p51s,lenovo thinkpad p51s mobile workstation laptop windows 7 pro core i7-7500u 32gb ram 512gb ssd 15.6 4k uhd 3840x2160 ips display ir cam nvidia quadro m520m backlit keyboard smart card reader lenovo thinkpad p51s windows 7 pro,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd dvd windows 10 pro 64 laptop cam lenovo thinkpad 
6555,a2922,w3114,thinkpad p51s,lenovo thinkpad p51s mobile workstation laptop windows 7 pro core i7-7500u 32gb ram 512gb ssd 15.6 4k uhd 3840x2160 ips display ir cam nvidia quadro m520m backlit keyboard smart card reader lenovo thinkpad p51s windows 7 pro,len-15-01217-p71me8,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 512gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me8 microsoft windows
6559,a2926,w2306,,2018 newest hp flagship 17.3 hd+ notebook intel core i3-7100u processor 2.4 ghz 8gb memory 2tb hard drive optical drive hd webcam backlit keyboard windows 10 home marine blue hp flagship laptop windows 10,,hp 17-bs088cl 17.3 hd+ notebook intel core i3-7100u dc processor 8gb memory 2tb hard drive optical drive hd webcam backlit keyboard pale mint hp windows 10
6635,a2944,w2727,nx.gswaa.001,17.3 ci58250 8g 1tb w10 acer nx.gswaa.001 unknown,nx.gqlaa.001,acer swift 3 14.0 fullhd laptop i5-8250u quad-core 8gb 256gb ssd win10 acer nx.gqlaa.001 windows 10
6683,a302,w1742,p0b79ut#aba,hp chromebook 11 g4 11.6 inch laptop (intel n2840 dual-core 2gb ram 16gb flash ssd chrome os) black hewlett packard p0b79ut#aba chrome,p0b79ut # aba,hewlett packard p0b79ut#aba chromebook hp p0b79ut # aba chrome os (english)
6699,a325,w2002,ideapad 320,2018 lenovo ideapad 320 15.6 laptop windows 10 intel celeron n3350 dual-core processor up to 2.4ghz 4gb ram 1tb hard drive dvd-rw wifi bluetooth webcam (coral red) lenovo ideapad 320 windows 10,80xr00agus,lenovo ideapad 320 15.6 laptop windows 10 intel celeron n3350 dual-core processor 4gb ram 1tb hard drive – platinum grey lenovo 80xr00agus windows 10
6709,a346,w1304,i5378-7171gry,dell inspiron i5378-7171gry 13.3 fhd 2-in-1 (7th generation intel core i7 8gb 256gb ssd) microsoft signature image dell i5378-7171gry windows 10,i5378-4314gry,dell inspiron i53784314gry 13.3 laptop touchscreen windows 10 home intel core i5-7200u processor 8gb ram 256gb solid state drive dell i5378-4314gry windows 10
6714,a353,w685,t8tjg,2017 hp 17.3 fhd ips business gaming laptop - intel dual-core i7-7500u 16gb ddr4 1tb hdd dvd burner amd r5 m430 2gb backlit keyboard dts studio 802.11ac bluetooth webcam win 10 hp t8tjg windows 10,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
6719,a359,w685,t8tjg,newest flagship acer r13 13.3 convertible 2-in-1 full hd ips touchscreen chromebook - intel quad-core mediatek mt8173c 2.1ghz 4gb ram 32gb ssd wlan bluetooth webcam hdmi usb 3.0 chrome os acer r13 t8tjg chrome os,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
6765,a382,w3060,thinkpad x260 20f6 business,lenovo thinkpad x260 business laptop: 12.5 ips anti-glare fhd (1920x1080) intel core i7-6600u 256gb ssd 16gb ddr4 backlit keyboard fp reader windows 7 pro upgradeable to win 10 pro lenovo thinkpad x260 20f6 business windows 10 professional windows 7 professional,,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 8
6816,a382,w3381,thinkpad x260 20f6 business,lenovo thinkpad x260 business laptop: 12.5 ips anti-glare fhd (1920x1080) intel core i7-6600u 256gb ssd 16gb ddr4 backlit keyboard fp reader windows 7 pro upgradeable to win 10 pro lenovo thinkpad x260 20f6 business windows 10 professional windows 7 professional,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10
6860,a389,w3116,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 128gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10
6886,a389,w3221,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 256gb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 8
6900,a389,w3248,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
6911,a389,w3289,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 8
6926,a389,w3336,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10
6973,a389,w511,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 512gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,oled lenovo thinkpad x1 yoga multimode ultrabook - windows 10 pro - intel i7-7600u 512gb ssd nvme-pcie 16gb ram 14 wqhd oled 2560x1440 touchscreen w/ pen input fingerprint reader - black lenovo windows 7
6984,a399,w1856,80xb0000us,lenovo flex 5 15.6-inch 2-in-1 laptop (intel core i7 8 gb ram 256 gb ssd windows 10) 80xb0000us lenovo 80xb0000us windows 10,80vh0000us,lenovo n22 cel-1 point 6 11 point 6tch 2gb 16gb cam bt chrm 80vh0000us notebooks lenovo 80vh0000us chrome os
6997,a410,w2456,t8tjg,2017 premium hp high performance laptop pc 15.6-inch hd+ display intel pentium quad-core processor 8gb ram 500gb hdd wifi dvd hdmi bluetooth windows 10 hp t8tjg windows 10,2017,2017 newest hp premium high performance 17.3 inch business laptop intel pentium n3710 quad-core processor 4gb memory 1tb hard drive hd webcam dvd hdmi webcam 802.11ac bluetooth window 10- turbo silver hp 2017 windows 10
7049,a438,w1696,nx.g85aa.003,acer nx.g85aa.003 chromebook 11.6 denim white cb3-131-c3kd intel celeron 2gb 16gb ssd acer nx.g85aa.003 chrome os,nx.g85aa.001,acer denim white 11.6 cb3-131-c3sz chromebook 11 pc with intel celeron n2840 dual-core processor 2gb memory 16gb flash storage and google chrome acer nx.g85aa.001 chrome
7103,a469,w579,fba_7430000000000,lenovo premium built high performance 15.6 inch hd laptop (intel celeron processor 4gb ram 500gb hdd dvd rw bluetooth webcam wifi hdmi windows 10 ) - black lenovo fba_7430000000000 windows 10,,hp flagship high performance 15.6 hd touchscreen laptop pc premium flagship intel quad-core pentium n3710 processor 4gb ram 500gb hdd supermulti dvd burner webcam hdmi wi-fi usb 3.0 windows hp windows 10
7125,a478,w1829,nx.ge8aa.002,acer chromebook 14 cp5-471-35t4 black (nx.ge8aa.002) nx.ge8aa.002 chrome,nx.g4xaa.002,acer chromebook 11 cb3-132-c4vv 11.6 lcd chromebook - intel celeron n3060 dual-core (2 core) 1.60 ghz - 4 gb ddr3l sdram - 16 gb flash memory - chrome os - 1366 x 768 - comfyview in-plane switc acer nx.g4xaa.002 chrome os
7146,a478,w4493,nx.ge8aa.002,acer chromebook 14 cp5-471-35t4 black (nx.ge8aa.002) nx.ge8aa.002 chrome,nx.gptaa.002,refurbished acer 15.6 intel core pentium 1.1ghz 4gb ram 32gb flash chrome os|cb515-1ht-p39b acer nx.gptaa.002 chrome os
7243,a542,w685,t8tjg,2018 dell inspiron 15.6-inch 5000 hd laptop pc - intel core i7 processor 8gb memory 512gb ssd bluetooth usb 3.0 (windows 10 pro) dell t8tjg windows 10 home,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
7286,a568,w600,i5579-7978gry-pus,dell i5579-7978gry-pus inspiron 15.6 touch display - 8th gen intel core i7 - 8gb memory - 1tb har drive - theoretical gray dell i5579-7978gry-pus windows 10 home,i5565-a000gry-pus,dell inspiron 15 5000 series (5565) with 7th gen amd a12-9700p quad-core processor 12gb memory 1tb hard drive 15.6-inch fhd (1920 x 1080) truelife led-backlit touch display windows 10 home dell i5565-a000gry-pus windows 10 home 64bit english
7297,a572,w356,20fd002hus,lenovo yoga 260 business convertible - 20fd002hus (12.5” fhd intel core i5-6300u 2.4ghz 8gb ddr4 256gb ssd fingerprint reader windows 10 pro 64) lenovo 20fd002hus windows 10,20fd0001us,lenovo thinkpad yoga 260 12.5 convertible notebook w/ intel i3 & 128gb ssd lenovo 20fd0001us windows 10
7307,a592,w1358,gl753vd-ds71,asus rog strix gl753vd 17.3 gaming laptop gtx 1050 4gb intel core i7-7700hq 16gb ddr4 1tb 7200rpm hdd rgb keyboard asus gl753vd-ds71 windows 10,gl753vd-ds71,gl753vd-ds71 i7-7700hq 16gb 1tb 17.3in no touch screen w10 asus gl753vd-ds71 windows 10
7396,a666,w400,envy x360 15 quad 8th gen. 2gj44av,hp envy x360-15t quad core(8th gen. intel i7-8550u 16gb ddr4 1tb+128gb pcie nvme ssd intel uhd 620 ips edge-to-edge bluetooth windows 10)bang & olufsen ms ink 15.6 convertible 2-in-1 laptop hp envy x360 15 quad 8th gen. 2gj44av windows 10,hp envy x360 -15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2-in-1 premium laptop / tablet (intel i7 processor 32gb ram 1tb hdd + 128gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win 10 pro) michaelelectronics2 hp envy x360 -15t fhd touch laptop microsoft windows
7512,a720,w2546,1jd36ut#aba,hp zbook 15 g4 mobile workstation - xeon e3-1505mv6 / 3 ghz - win 10 pro 64-bit - 16 gb ram - 512 gb ssd hp z turbo drive g2 nvme tlc - 15.6 1920 x 1080 (full hd) - quadro m2200 / hd graphics p630 1jd36ut#aba unknown,1jd32ut#aba,hp zbook 15 g4 mobile workstation - 15.6 - core i7 7700hq - 8 gb ram - 1 tb hdd - us hp 1jd32ut#aba windows 10
7554,a751,w3114,lenovo thinkpad p71 mobile workstation,lenovo thinkpad p71 17.3'' mobile workstation laptop (intel i7 quad core processor 16gb ram 1tb hdd + 512gb ssd 17.3 inch fhd 1920x1080 display nvidia quadro m620m win 10 pro) lenovo lenovo thinkpad p71 mobile workstation ,len-15-01217-p71me8,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 512gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me8 microsoft windows
7632,a821,w2046,80xa0001us,lenovo flex 5 14-inch 2-in-1 laptop (intel core i5 8 gb ram 128 gb ssd windows 10) 80xa0001us lenovo 80xa0001us windows 10,80xa000tus,lenovo flex 5 14 2 in 1 laptop windows 10 intel core i5-7200u dual-core processor 8gb ram 1tb hard drive lenovo 80xa000tus windows 10
7673,a835,w339,hp,2018 premium newest hp envy x360 15.6 inch fhd flagship touchscreen laptop (amd quad-core ryzen 5 2500u 16gb ddr4 ram 512gb ssd + 1tb hdd backlit keyboard b&o speakers hd webcam windows 10) hp hp windows 10,hp-15-02395-fhd-me23,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 1tb hdd + 128gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 hp-15-02395-fhd-me23 microsoft windows
7693,a856,w2220,w2l54ua,flagship hp 15.6 hd high performance laptop - intel i5 up to 2.8ghz 8gb ram 1tb hdd wlan webcam usb 3.0 hdmi win 10 hp w2l54ua windows 10,w2l54ua#aba,hp pavilion 15-au020wm 15.6 manhattan gold laptop windows 10 intel core i5-6200u processor 8gb memory 1tb hard drive hp w2l54ua#aba windows 10
7724,a884,w753,i5559-7080slv,dell inspiron i5559-7080slv 15.6 inch fhd touchscreen laptop with intel realsense (6th generation intel core i7 8 gb ram 1 tb hdd) amd radeon r5 dell i5559-7080slv windows 10,i5559-7080slv,refurbished dell inspiron i5559-7080slv 15.6 inch fhd touchscreen laptop with intel realsense (6th generation intel core i7 8 gb ram 1 tb dell i5559-7080slv microsoft windows
7803,a888,w3258,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
7858,a888,w3422,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 7
7950,a947,w3043,t6f44ut#aba,hp t6f44ut#aba business 840 i5-6200u 14.0 4gb 500gb laptop hp t6f44ut#aba windows 7 professional,t6e14ut#aba,hp zbook studio g3 mobile workstation - 15.6 - core i7 6700hq - 8 gb ram - 256 gb ssd hp t6e14ut#aba windows 7
7968,a952,w2168,nx.g15aa.001,acer cb3-531-c4a5 15.6 chromebook - celeron n2830 2.16 ghz - 2 gb ram - 16 gb ssd - textured granite gray acer nx.g15aa.001 chrome os,nx.glbaa.001,acer aspire e15 e5-575-74rc 15.6 full hd screenintel core i7-7500u processor 8gb ddr4 1tb hard drive windows 10 home steel gray acer nx.glbaa.001 windows 10
7995,a971,w685,t8tjg,msi gl72 17.3 1920x1080 gaming laptop (2017) 7th gen intel i7-7700hq quad-core 2.8ghz nvidia geforce gtx 960m 2gb 8gb ram 1tb hdd 802.11ac bluetooth hdmi hd webcam win10 home 64-bit msi-17.3-inch-8gb-1tb t8tjg windows 10,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
8027,a993,w2174,nx.vdcaa.015,acer travelmate 15.6 lcd notebook - dual-core 2.30 ghz - 8 gb ddr4 sdram - 500 gb hdd acer nx.vdcaa.015 windows 10 pro,nx.vcgaa.015,acer travelmate b117-m-c9gh - 11.6 - celeron n3160 - 4 gb ram - 128 gb ssd - us international acer nx.vcgaa.015 windows 10
